,network,protocol,seeding_budget,mi_value,diffusion_len,activated_prct_actors
100,aucs,OR,1.39,0.1,4,100.0
101,ckm_physicians,OR,1.39,0.1,4,68.46473029045643
102,eu_transportation,OR,1.39,0.1,5,100.0
103,lazega,OR,1.39,0.1,4,100.0
104,er2,OR,1.39,0.1,5,100.0
105,er3,OR,1.39,0.1,4,100.0
106,er5,OR,1.39,0.1,4,100.0
107,sf2,OR,1.39,0.1,4,79.9
108,sf3,OR,1.39,0.1,4,87.8
109,sf5,OR,1.39,0.1,4,98.8
110,aucs,OR,1.39,0.2,5,100.0
111,ckm_physicians,OR,1.39,0.2,5,68.46473029045643
112,eu_transportation,OR,1.39,0.2,5,100.0
113,lazega,OR,1.39,0.2,2,4.225352112676056
114,er2,OR,1.39,0.2,6,100.0
115,er3,OR,1.39,0.2,5,100.0
116,er5,OR,1.39,0.2,4,100.0
117,sf2,OR,1.39,0.2,4,79.9
118,sf3,OR,1.39,0.2,4,87.8
119,sf5,OR,1.39,0.2,4,98.8
120,aucs,OR,1.39,0.30000000000000004,5,100.0
121,ckm_physicians,OR,1.39,0.30000000000000004,5,68.46473029045643
122,eu_transportation,OR,1.39,0.30000000000000004,6,100.0
123,lazega,OR,1.39,0.30000000000000004,1,1.4084507042253522
124,er2,OR,1.39,0.30000000000000004,11,100.0
125,er3,OR,1.39,0.30000000000000004,7,100.0
126,er5,OR,1.39,0.30000000000000004,6,100.0
127,sf2,OR,1.39,0.30000000000000004,5,79.9
128,sf3,OR,1.39,0.30000000000000004,5,87.8
129,sf5,OR,1.39,0.30000000000000004,4,98.8
130,aucs,OR,1.39,0.4,8,100.0
131,ckm_physicians,OR,1.39,0.4,12,68.46473029045643
132,eu_transportation,OR,1.39,0.4,8,98.56115107913669
133,lazega,OR,1.39,0.4,1,1.4084507042253522
134,er2,OR,1.39,0.4,3,2.1999999999999997
135,er3,OR,1.39,0.4,21,100.0
136,er5,OR,1.39,0.4,25,100.0
137,sf2,OR,1.39,0.4,13,79.9
138,sf3,OR,1.39,0.4,8,87.8
139,sf5,OR,1.39,0.4,6,98.8
140,aucs,OR,1.39,0.5,1,1.639344262295082
141,ckm_physicians,OR,1.39,0.5,10,21.57676348547718
142,eu_transportation,OR,1.39,0.5,9,95.92326139088729
143,lazega,OR,1.39,0.5,1,1.4084507042253522
144,er2,OR,1.39,0.5,1,1.4000000000000001
145,er3,OR,1.39,0.5,3,2.3
146,er5,OR,1.39,0.5,2,1.7999999999999998
147,sf2,OR,1.39,0.5,4,6.7
148,sf3,OR,1.39,0.5,4,6.4
149,sf5,OR,1.39,0.5,11,98.8
150,aucs,OR,1.39,0.6,1,1.639344262295082
151,ckm_physicians,OR,1.39,0.6,10,21.57676348547718
152,eu_transportation,OR,1.39,0.6,9,95.92326139088729
153,lazega,OR,1.39,0.6,1,1.4084507042253522
154,er2,OR,1.39,0.6,1,1.4000000000000001
155,er3,OR,1.39,0.6,3,2.3
156,er5,OR,1.39,0.6,2,1.7999999999999998
157,sf2,OR,1.39,0.6,4,6.7
158,sf3,OR,1.39,0.6,4,6.4
159,sf5,OR,1.39,0.6,11,98.8
160,aucs,OR,1.39,0.7000000000000001,1,1.639344262295082
161,ckm_physicians,OR,1.39,0.7000000000000001,2,2.0746887966804977
162,eu_transportation,OR,1.39,0.7000000000000001,6,91.60671462829735
163,lazega,OR,1.39,0.7000000000000001,1,1.4084507042253522
164,er2,OR,1.39,0.7000000000000001,1,1.4000000000000001
165,er3,OR,1.39,0.7000000000000001,3,2.0
166,er5,OR,1.39,0.7000000000000001,2,1.7000000000000002
167,sf2,OR,1.39,0.7000000000000001,2,2.6
168,sf3,OR,1.39,0.7000000000000001,3,3.5000000000000004
169,sf5,OR,1.39,0.7000000000000001,5,7.7
170,aucs,OR,1.39,0.8,1,1.639344262295082
171,ckm_physicians,OR,1.39,0.8,2,2.0746887966804977
172,eu_transportation,OR,1.39,0.8,7,91.60671462829735
173,lazega,OR,1.39,0.8,1,1.4084507042253522
174,er2,OR,1.39,0.8,1,1.4000000000000001
175,er3,OR,1.39,0.8,3,2.0
176,er5,OR,1.39,0.8,2,1.7000000000000002
177,sf2,OR,1.39,0.8,2,2.5
178,sf3,OR,1.39,0.8,2,3.2
179,sf5,OR,1.39,0.8,5,7.5
180,aucs,OR,1.39,0.9,1,1.639344262295082
181,ckm_physicians,OR,1.39,0.9,2,2.0746887966804977
182,eu_transportation,OR,1.39,0.9,8,89.20863309352518
183,lazega,OR,1.39,0.9,1,1.4084507042253522
184,er2,OR,1.39,0.9,1,1.4000000000000001
