,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
153,timik1q2009,AND,35,0.5,3,99.7860685229004,35.0004862079025,99.67087218869996,vote_rank_mln
154,arxiv,AND,35,0.6,3,79.48098115890508,35.00177746178457,68.43141544519798,vote_rank_mln
155,timik1q2009,AND,35,0.6,3,99.7860685229004,35.0004862079025,99.67087218869996,vote_rank_mln
156,arxiv,AND,35,0.7,5,63.12833274084607,35.00177746178457,43.272806825639904,vote_rank_mln
157,timik1q2009,AND,35,0.7,3,99.641826845159,35.0004862079025,99.4489602553234,vote_rank_mln
158,arxiv,AND,35,0.8,5,53.81443298969072,35.00177746178457,28.943338437978564,vote_rank_mln
159,timik1q2009,AND,35,0.8,3,98.85579073611876,35.0004862079025,98.23966488804668,vote_rank_mln
160,arxiv,AND,35,0.9,2,52.91859225026661,35.00177746178457,27.56508422664624,vote_rank_mln
161,timik1q2009,AND,35,0.9,4,96.81047615960586,35.0004862079025,95.09300354061736,vote_rank_mln
162,arxiv,AND,36,0.1,2,98.54959118378956,36.004265908282974,97.73358515720476,vote_rank_mln
163,timik1q2009,AND,36,0.1,2,99.97406891186672,36.00045379404233,99.95948238750032,vote_rank_mln
164,arxiv,AND,36,0.2,2,98.05901173124778,36.004265908282974,96.9670036662593,vote_rank_mln
165,timik1q2009,AND,36,0.2,2,99.97406891186672,36.00045379404233,99.95948238750032,vote_rank_mln
166,arxiv,AND,36,0.3,2,97.81727692854604,36.004265908282974,96.58926785912676,vote_rank_mln
167,timik1q2009,AND,36,0.3,2,99.97406891186672,36.00045379404233,99.95948238750032,vote_rank_mln
168,arxiv,AND,36,0.4,2,97.26270885175968,36.004265908282974,95.722697478058,vote_rank_mln
169,timik1q2009,AND,36,0.4,3,99.97244821885836,36.00045379404233,99.95695003671908,vote_rank_mln
170,arxiv,AND,36,0.5,3,82.56665481692144,36.004265908282974,72.7585823797356,vote_rank_mln
171,timik1q2009,AND,36,0.5,3,99.90924119153352,36.00045379404233,99.85818835625112,vote_rank_mln
172,arxiv,AND,36,0.6,3,81.47173835762531,36.004265908282974,71.04766137095879,vote_rank_mln
173,timik1q2009,AND,36,0.6,3,99.90924119153352,36.00045379404233,99.85818835625112,vote_rank_mln
174,arxiv,AND,36,0.7,5,65.13330963384287,36.004265908282974,45.51716475947117,vote_rank_mln
175,timik1q2009,AND,36,0.7,3,99.83306862014196,36.00045379404233,99.73916786953328,vote_rank_mln
176,arxiv,AND,36,0.8,5,55.81940988268752,36.004265908282974,30.96322630818798,vote_rank_mln
177,timik1q2009,AND,36,0.8,3,99.60130951995072,36.00045379404233,99.37704170781736,vote_rank_mln
178,arxiv,AND,36,0.9,2,54.92356914326342,36.004265908282974,29.563381846461507,vote_rank_mln
179,timik1q2009,AND,36,0.9,4,98.36472075459469,36.00045379404233,97.44485806173871,vote_rank_mln
180,arxiv,AND,37,0.1,2,99.91468183434056,37.00675435478137,99.86455981941307,vote_rank_mln
181,timik1q2009,AND,37,0.1,2,99.99351722796668,37.00042138018216,99.98970981683472,vote_rank_mln
182,arxiv,AND,37,0.2,2,99.4241023817988,37.00675435478137,99.08577878103836,vote_rank_mln
183,timik1q2009,AND,37,0.2,2,99.99351722796668,37.00042138018216,99.98970981683472,vote_rank_mln
184,arxiv,AND,37,0.3,2,99.18236757909705,37.00675435478137,98.7020316027088,vote_rank_mln
185,timik1q2009,AND,37,0.3,2,99.99351722796668,37.00042138018216,99.98970981683472,vote_rank_mln
186,arxiv,AND,37,0.4,2,98.6277995023107,37.00675435478137,97.8216704288939,vote_rank_mln
187,timik1q2009,AND,37,0.4,2,99.99351722796668,37.00042138018216,99.98970981683472,vote_rank_mln
188,arxiv,AND,37,0.5,3,84.5360824742268,37.00675435478137,75.45146726862302,vote_rank_mln
189,timik1q2009,AND,37,0.5,2,99.9789309908917,37.00042138018216,99.96655690471287,vote_rank_mln
190,arxiv,AND,37,0.6,3,83.46960540348383,37.00675435478137,73.75846501128667,vote_rank_mln
191,timik1q2009,AND,37,0.6,2,99.9789309908917,37.00042138018216,99.96655690471287,vote_rank_mln
192,arxiv,AND,37,0.7,4,67.14539637397796,37.00675435478137,47.84424379232505,vote_rank_mln
193,timik1q2009,AND,37,0.7,2,99.96434475381672,37.00042138018216,99.94340399259109,vote_rank_mln
194,arxiv,AND,37,0.8,5,57.80305723426946,37.00675435478137,33.01354401805869,vote_rank_mln
195,timik1q2009,AND,37,0.8,3,99.8930342614502,37.00042138018216,99.8302119777732,vote_rank_mln
196,arxiv,AND,37,0.9,2,56.76501955207963,37.00675435478137,31.36568848758465,vote_rank_mln
197,timik1q2009,AND,37,0.9,4,99.5672749667758,37.00042138018216,99.31313027371888,vote_rank_mln
198,arxiv,AND,38,0.1,2,99.91468183434056,38.00213295414149,99.8623853211009,vote_rank_mln
199,timik1q2009,AND,38,0.1,2,99.99837930699168,38.000388966322,99.99738596261926,vote_rank_mln
200,arxiv,AND,38,0.2,2,99.4241023817988,38.00213295414149,99.0711009174312,vote_rank_mln
201,timik1q2009,AND,38,0.2,2,99.99837930699168,38.000388966322,99.99738596261926,vote_rank_mln
202,arxiv,AND,38,0.3,2,99.18236757909705,38.00213295414149,98.68119266055044,vote_rank_mln
203,timik1q2009,AND,38,0.3,2,99.99837930699168,38.000388966322,99.99738596261926,vote_rank_mln
204,arxiv,AND,38,0.4,2,98.64912904372557,38.00213295414149,97.8211009174312,vote_rank_mln
205,timik1q2009,AND,38,0.4,2,99.99837930699168,38.000388966322,99.99738596261926,vote_rank_mln
206,arxiv,AND,38,0.5,3,84.62851048702453,38.00213295414149,75.20642201834863,vote_rank_mln
207,timik1q2009,AND,38,0.5,2,99.995137920975,38.000388966322,99.9921578878578,vote_rank_mln
208,arxiv,AND,38,0.6,3,83.56203341628155,38.00213295414149,73.4862385321101,vote_rank_mln
209,timik1q2009,AND,38,0.6,2,99.995137920975,38.000388966322,99.9921578878578,vote_rank_mln
210,arxiv,AND,38,0.7,4,69.64095271951653,38.00213295414149,51.03211009174312,vote_rank_mln
211,timik1q2009,AND,38,0.7,2,99.99189653495834,38.000388966322,99.98692981309632,vote_rank_mln
212,arxiv,AND,38,0.8,5,59.13970849626733,38.00213295414149,34.09403669724771,vote_rank_mln
213,timik1q2009,AND,38,0.8,2,99.98865514894167,38.000388966322,99.98170173833486,vote_rank_mln
214,arxiv,AND,38,0.9,2,58.06612157838607,38.00213295414149,32.36238532110092,vote_rank_mln
215,timik1q2009,AND,38,0.9,2,99.96920683284172,38.000388966322,99.95033328976606,vote_rank_mln
216,arxiv,AND,39,0.1,2,99.91468183434056,39.00462140063989,99.86012355752418,vote_rank_mln
217,timik1q2009,AND,39,0.1,2,99.99837930699168,39.00035655246184,99.997343110686,vote_rank_mln
218,arxiv,AND,39,0.2,2,99.4241023817988,39.00462140063989,99.05583401328823,vote_rank_mln
219,timik1q2009,AND,39,0.2,2,99.99837930699168,39.00035655246184,99.997343110686,vote_rank_mln
220,arxiv,AND,39,0.3,2,99.18236757909705,39.00462140063989,98.65951742627344,vote_rank_mln
221,timik1q2009,AND,39,0.3,2,99.99837930699168,39.00035655246184,99.997343110686,vote_rank_mln
222,arxiv,AND,39,0.4,2,98.64912904372557,39.00462140063989,97.78528966079963,vote_rank_mln
223,timik1q2009,AND,39,0.4,2,99.99837930699168,39.00035655246184,99.997343110686,vote_rank_mln
224,arxiv,AND,39,0.5,3,85.87984358336296,39.00462140063989,76.85044877025294,vote_rank_mln
225,timik1q2009,AND,39,0.5,2,99.995137920975,39.00035655246184,99.99202933205804,vote_rank_mln
226,arxiv,AND,39,0.6,3,84.81336651261998,39.00462140063989,75.10199323930527,vote_rank_mln
227,timik1q2009,AND,39,0.6,2,99.995137920975,39.00035655246184,99.99202933205804,vote_rank_mln
228,arxiv,AND,39,0.7,3,71.65303945965161,39.00462140063989,53.52605198741111,vote_rank_mln
229,timik1q2009,AND,39,0.7,2,99.99189653495834,39.00035655246184,99.98671555343005,vote_rank_mln
230,arxiv,AND,39,0.8,5,60.91006043370067,39.00462140063989,35.91327660566498,vote_rank_mln
231,timik1q2009,AND,39,0.8,2,99.98865514894167,39.00035655246184,99.98140177480208,vote_rank_mln
232,arxiv,AND,39,0.9,2,59.85069321009598,39.00462140063989,34.17647744492365,vote_rank_mln
233,timik1q2009,AND,39,0.9,2,99.97082752585004,39.00035655246184,99.95217599234816,vote_rank_mln
234,arxiv,AND,40,0.1,2,99.94312122289372,40.0,99.90520203815618,vote_rank_mln
235,timik1q2009,AND,40,0.1,2,99.99837930699168,40.00032413860167,99.99729883039356,vote_rank_mln
236,arxiv,AND,40,0.2,2,99.45254177035191,40.0,99.0875696172532,vote_rank_mln
237,timik1q2009,AND,40,0.2,2,99.99837930699168,40.00032413860167,99.99729883039356,vote_rank_mln
238,arxiv,AND,40,0.3,2,99.2108069676502,40.0,98.684678279417,vote_rank_mln
239,timik1q2009,AND,40,0.3,2,99.99837930699168,40.00032413860167,99.99729883039356,vote_rank_mln
240,arxiv,AND,40,0.4,2,98.6775684322787,40.0,97.79594738713118,vote_rank_mln
241,timik1q2009,AND,40,0.4,2,99.99837930699168,40.00032413860167,99.99729883039356,vote_rank_mln
242,arxiv,AND,40,0.5,3,87.62886597938144,40.0,79.38144329896907,vote_rank_mln
243,timik1q2009,AND,40,0.5,2,99.995137920975,40.00032413860167,99.99189649118068,vote_rank_mln
244,arxiv,AND,40,0.6,3,86.56238890863847,40.0,77.60398151439745,vote_rank_mln
245,timik1q2009,AND,40,0.6,2,99.995137920975,40.00032413860167,99.99189649118068,vote_rank_mln
246,arxiv,AND,40,0.7,3,73.54425879843583,40.0,55.90709799739306,vote_rank_mln
247,timik1q2009,AND,40,0.7,2,99.99189653495834,40.00032413860167,99.9864941519678,vote_rank_mln
248,arxiv,AND,40,0.8,5,62.9008176324209,40.0,38.16802938736817,vote_rank_mln
249,timik1q2009,AND,40,0.8,2,99.98865514894167,40.00032413860167,99.98109181275493,vote_rank_mln
250,arxiv,AND,40,0.9,2,61.841450408816215,40.0,36.40241734802702,vote_rank_mln
251,timik1q2009,AND,40,0.9,2,99.97244821885836,40.00032413860167,99.95408011669052,vote_rank_mln
0,arxiv,OR,1,0.1,9,61.720583007465336,1.0024884464984003,61.33295030163746,vote_rank_mln
1,timik1q2009,OR,1,0.1,5,99.07944637126836,1.0015882791481638,99.0701329317006,vote_rank_mln
2,arxiv,OR,1,0.2,13,57.69640952719517,1.0024884464984003,57.268026429187024,vote_rank_mln
3,timik1q2009,OR,1,0.2,5,99.07944637126836,1.0015882791481638,99.0701329317006,vote_rank_mln
4,arxiv,OR,1,0.3,17,51.47529328119445,1.0024884464984003,50.98391266877334,vote_rank_mln
5,timik1q2009,OR,1,0.3,6,99.05027389711842,1.0015882791481638,99.04066531333902,vote_rank_mln
6,arxiv,OR,1,0.4,13,36.5730536793459,1.0024884464984003,35.93076702097099,vote_rank_mln
7,timik1q2009,OR,1,0.4,6,98.82661826196882,1.0015882791481638,98.81474690590008,vote_rank_mln
8,arxiv,OR,1,0.5,19,17.07074297902595,1.0024884464984003,16.23096811261132,vote_rank_mln
9,timik1q2009,OR,1,0.5,10,96.88178665197238,1.0015882791481638,96.8502390151267,vote_rank_mln
10,arxiv,OR,1,0.6,17,14.987557767507996,1.0024884464984003,14.126687733409938,vote_rank_mln
11,timik1q2009,OR,1,0.6,51,96.74402774626432,1.0015882791481638,96.7110863728636,vote_rank_mln
12,arxiv,OR,1,0.7,10,5.524351226448632,1.0024884464984003,4.567652973283539,vote_rank_mln
