,network,protocol,seeding_budget,mi_value,diffusion_len,activated_prct_actors
1916,er5,AND,3.73,0.2,2,4.1000000000000005
1917,sf2,AND,3.73,0.2,5,62.6
1918,sf3,AND,3.73,0.2,19,22.2
1919,sf5,AND,3.73,0.2,3,5.0
1920,aucs,AND,3.73,0.30000000000000004,1,4.918032786885246
1921,ckm_physicians,AND,3.73,0.30000000000000004,13,25.72614107883817
1922,eu_transportation,AND,3.73,0.30000000000000004,3,16.06714628297362
1923,lazega,AND,3.73,0.30000000000000004,1,4.225352112676056
1924,er2,AND,3.73,0.30000000000000004,4,5.4
1925,er3,AND,3.73,0.30000000000000004,3,4.7
1926,er5,AND,3.73,0.30000000000000004,1,3.8
1927,sf2,AND,3.73,0.30000000000000004,9,62.6
1928,sf3,AND,3.73,0.30000000000000004,6,7.3999999999999995
1929,sf5,AND,3.73,0.30000000000000004,2,4.2
1930,aucs,AND,3.73,0.4,1,4.918032786885246
1931,ckm_physicians,AND,3.73,0.4,2,4.149377593360995
1932,eu_transportation,AND,3.73,0.4,5,13.42925659472422
1933,lazega,AND,3.73,0.4,1,4.225352112676056
1934,er2,AND,3.73,0.4,2,4.0
1935,er3,AND,3.73,0.4,1,3.8
1936,er5,AND,3.73,0.4,1,3.8
1937,sf2,AND,3.73,0.4,5,8.1
1938,sf3,AND,3.73,0.4,2,4.3
1939,sf5,AND,3.73,0.4,2,3.9
1940,aucs,AND,3.73,0.5,1,4.918032786885246
1941,ckm_physicians,AND,3.73,0.5,1,3.7344398340248963
1942,eu_transportation,AND,3.73,0.5,2,8.633093525179856
1943,lazega,AND,3.73,0.5,1,4.225352112676056
1944,er2,AND,3.73,0.5,1,3.8
1945,er3,AND,3.73,0.5,1,3.8
1946,er5,AND,3.73,0.5,1,3.8
1947,sf2,AND,3.73,0.5,2,5.4
1948,sf3,AND,3.73,0.5,2,4.0
1949,sf5,AND,3.73,0.5,1,3.8
1950,aucs,AND,3.73,0.6,1,4.918032786885246
1951,ckm_physicians,AND,3.73,0.6,1,3.7344398340248963
1952,eu_transportation,AND,3.73,0.6,2,8.633093525179856
1953,lazega,AND,3.73,0.6,1,4.225352112676056
1954,er2,AND,3.73,0.6,1,3.8
1955,er3,AND,3.73,0.6,1,3.8
1956,er5,AND,3.73,0.6,1,3.8
1957,sf2,AND,3.73,0.6,2,5.4
1958,sf3,AND,3.73,0.6,2,3.9
1959,sf5,AND,3.73,0.6,1,3.8
1960,aucs,AND,3.73,0.7000000000000001,1,4.918032786885246
1961,ckm_physicians,AND,3.73,0.7000000000000001,1,3.7344398340248963
1962,eu_transportation,AND,3.73,0.7000000000000001,2,8.633093525179856
1963,lazega,AND,3.73,0.7000000000000001,1,4.225352112676056
1964,er2,AND,3.73,0.7000000000000001,1,3.8
1965,er3,AND,3.73,0.7000000000000001,1,3.8
1966,er5,AND,3.73,0.7000000000000001,1,3.8
1967,sf2,AND,3.73,0.7000000000000001,2,3.9
1968,sf3,AND,3.73,0.7000000000000001,2,3.9
1969,sf5,AND,3.73,0.7000000000000001,1,3.8
1970,aucs,AND,3.73,0.8,1,4.918032786885246
1971,ckm_physicians,AND,3.73,0.8,1,3.7344398340248963
1972,eu_transportation,AND,3.73,0.8,2,8.633093525179856
1973,lazega,AND,3.73,0.8,1,4.225352112676056
1974,er2,AND,3.73,0.8,1,3.8
1975,er3,AND,3.73,0.8,1,3.8
1976,er5,AND,3.73,0.8,1,3.8
1977,sf2,AND,3.73,0.8,1,3.8
1978,sf3,AND,3.73,0.8,2,3.9
1979,sf5,AND,3.73,0.8,1,3.8
1980,aucs,AND,3.73,0.9,1,4.918032786885246
1981,ckm_physicians,AND,3.73,0.9,1,3.7344398340248963
1982,eu_transportation,AND,3.73,0.9,2,8.633093525179856
1983,lazega,AND,3.73,0.9,1,4.225352112676056
1984,er2,AND,3.73,0.9,1,3.8
1985,er3,AND,3.73,0.9,1,3.8
1986,er5,AND,3.73,0.9,1,3.8
1987,sf2,AND,3.73,0.9,1,3.8
1988,sf3,AND,3.73,0.9,2,3.9
1989,sf5,AND,3.73,0.9,1,3.8
1990,aucs,AND,3.73,1.0,1,4.918032786885246
1991,ckm_physicians,AND,3.73,1.0,1,3.7344398340248963
1992,eu_transportation,AND,3.73,1.0,1,3.8369304556354913
1993,lazega,AND,3.73,1.0,1,4.225352112676056
1994,er2,AND,3.73,1.0,1,3.8
1995,er3,AND,3.73,1.0,1,3.8
1996,er5,AND,3.73,1.0,1,3.8
1997,sf2,AND,3.73,1.0,1,3.8
1998,sf3,AND,3.73,1.0,1,3.8
1999,sf5,AND,3.73,1.0,1,3.8
2000,aucs,AND,5.18,0.1,5,63.934426229508205
2001,ckm_physicians,AND,5.18,0.1,8,82.15767634854771
2002,eu_transportation,AND,5.18,0.1,8,44.84412470023981
2003,lazega,AND,5.18,0.1,5,100.0
2004,er2,AND,5.18,0.1,6,99.4
2005,er3,AND,5.18,0.1,8,96.5
2006,er5,AND,5.18,0.1,8,97.6
2007,sf2,AND,5.18,0.1,4,62.6
2008,sf3,AND,5.18,0.1,8,26.900000000000002
2009,sf5,AND,5.18,0.1,9,27.6
2010,aucs,AND,5.18,0.2,1,6.557377049180328
2011,ckm_physicians,AND,5.18,0.2,15,82.15767634854771
2012,eu_transportation,AND,5.18,0.2,5,32.37410071942446
2013,lazega,AND,5.18,0.2,1,5.633802816901409
2014,er2,AND,5.18,0.2,9,99.4
2015,er3,AND,5.18,0.2,14,13.0
2016,er5,AND,5.18,0.2,2,5.800000000000001
2017,sf2,AND,5.18,0.2,5,62.6
2018,sf3,AND,5.18,0.2,9,24.5
2019,sf5,AND,5.18,0.2,4,7.5
2020,aucs,AND,5.18,0.30000000000000004,1,6.557377049180328
2021,ckm_physicians,AND,5.18,0.30000000000000004,13,30.70539419087137
2022,eu_transportation,AND,5.18,0.30000000000000004,5,24.940047961630697
2023,lazega,AND,5.18,0.30000000000000004,1,5.633802816901409
2024,er2,AND,5.18,0.30000000000000004,5,9.9
2025,er3,AND,5.18,0.30000000000000004,3,6.6000000000000005
2026,er5,AND,5.18,0.30000000000000004,1,5.2
2027,sf2,AND,5.18,0.30000000000000004,7,62.6
2028,sf3,AND,5.18,0.30000000000000004,5,10.6
2029,sf5,AND,5.18,0.30000000000000004,3,6.1
2030,aucs,AND,5.18,0.4,1,6.557377049180328
2031,ckm_physicians,AND,5.18,0.4,2,6.639004149377594
2032,eu_transportation,AND,5.18,0.4,5,20.623501199040767
2033,lazega,AND,5.18,0.4,1,5.633802816901409
2034,er2,AND,5.18,0.4,2,5.7
2035,er3,AND,5.18,0.4,1,5.2
2036,er5,AND,5.18,0.4,1,5.2
2037,sf2,AND,5.18,0.4,5,12.8
2038,sf3,AND,5.18,0.4,2,6.0
2039,sf5,AND,5.18,0.4,2,5.4
2040,aucs,AND,5.18,0.5,1,6.557377049180328
2041,ckm_physicians,AND,5.18,0.5,1,5.394190871369295
2042,eu_transportation,AND,5.18,0.5,2,15.347721822541965
2043,lazega,AND,5.18,0.5,1,5.633802816901409
2044,er2,AND,5.18,0.5,1,5.2
2045,er3,AND,5.18,0.5,1,5.2
2046,er5,AND,5.18,0.5,1,5.2
2047,sf2,AND,5.18,0.5,2,7.7
2048,sf3,AND,5.18,0.5,2,5.5
2049,sf5,AND,5.18,0.5,1,5.2
2050,aucs,AND,5.18,0.6,1,6.557377049180328
2051,ckm_physicians,AND,5.18,0.6,1,5.394190871369295
2052,eu_transportation,AND,5.18,0.6,2,15.347721822541965
2053,lazega,AND,5.18,0.6,1,5.633802816901409
2054,er2,AND,5.18,0.6,1,5.2
2055,er3,AND,5.18,0.6,1,5.2
2056,er5,AND,5.18,0.6,1,5.2
2057,sf2,AND,5.18,0.6,2,7.7
2058,sf3,AND,5.18,0.6,2,5.4
2059,sf5,AND,5.18,0.6,1,5.2
2060,aucs,AND,5.18,0.7000000000000001,1,6.557377049180328
2061,ckm_physicians,AND,5.18,0.7000000000000001,1,5.394190871369295
2062,eu_transportation,AND,5.18,0.7000000000000001,2,14.628297362110313
2063,lazega,AND,5.18,0.7000000000000001,1,5.633802816901409
2064,er2,AND,5.18,0.7000000000000001,1,5.2
2065,er3,AND,5.18,0.7000000000000001,1,5.2
2066,er5,AND,5.18,0.7000000000000001,1,5.2
2067,sf2,AND,5.18,0.7000000000000001,2,5.8999999999999995
2068,sf3,AND,5.18,0.7000000000000001,2,5.3
2069,sf5,AND,5.18,0.7000000000000001,1,5.2
2070,aucs,AND,5.18,0.8,1,6.557377049180328
2071,ckm_physicians,AND,5.18,0.8,1,5.394190871369295
2072,eu_transportation,AND,5.18,0.8,2,14.628297362110313
2073,lazega,AND,5.18,0.8,1,5.633802816901409
2074,er2,AND,5.18,0.8,1,5.2
2075,er3,AND,5.18,0.8,1,5.2
2076,er5,AND,5.18,0.8,1,5.2
2077,sf2,AND,5.18,0.8,2,5.6000000000000005
2078,sf3,AND,5.18,0.8,2,5.3
2079,sf5,AND,5.18,0.8,1,5.2
2080,aucs,AND,5.18,0.9,1,6.557377049180328
2081,ckm_physicians,AND,5.18,0.9,1,5.394190871369295
2082,eu_transportation,AND,5.18,0.9,2,14.628297362110313
2083,lazega,AND,5.18,0.9,1,5.633802816901409
2084,er2,AND,5.18,0.9,1,5.2
2085,er3,AND,5.18,0.9,1,5.2
2086,er5,AND,5.18,0.9,1,5.2
2087,sf2,AND,5.18,0.9,2,5.6000000000000005
2088,sf3,AND,5.18,0.9,2,5.3
2089,sf5,AND,5.18,0.9,1,5.2
2090,aucs,AND,5.18,1.0,1,6.557377049180328
2091,ckm_physicians,AND,5.18,1.0,1,5.394190871369295
2092,eu_transportation,AND,5.18,1.0,1,5.275779376498801
2093,lazega,AND,5.18,1.0,1,5.633802816901409
2094,er2,AND,5.18,1.0,1,5.2
2095,er3,AND,5.18,1.0,1,5.2
2096,er5,AND,5.18,1.0,1,5.2
2097,sf2,AND,5.18,1.0,1,5.2
2098,sf3,AND,5.18,1.0,1,5.2
2099,sf5,AND,5.18,1.0,1,5.2
2100,aucs,AND,7.2,0.1,5,63.934426229508205
2101,ckm_physicians,AND,7.2,0.1,8,89.62655601659752
2102,eu_transportation,AND,7.2,0.1,8,90.16786570743405
2103,lazega,AND,7.2,0.1,4,100.0
2104,er2,AND,7.2,0.1,6,99.4
2105,er3,AND,7.2,0.1,8,96.5
2106,er5,AND,7.2,0.1,7,97.6
2107,sf2,AND,7.2,0.1,4,62.6
2108,sf3,AND,7.2,0.1,5,28.4
2109,sf5,AND,7.2,0.1,8,32.1
2110,aucs,AND,7.2,0.2,4,24.59016393442623
2111,ckm_physicians,AND,7.2,0.2,15,82.98755186721992
2112,eu_transportation,AND,7.2,0.2,15,90.16786570743405
2113,lazega,AND,7.2,0.2,1,8.450704225352112
2114,er2,AND,7.2,0.2,8,99.4
2115,er3,AND,7.2,0.2,16,96.5
2116,er5,AND,7.2,0.2,4,8.6
2117,sf2,AND,7.2,0.2,5,62.6
2118,sf3,AND,7.2,0.2,8,27.200000000000003
2119,sf5,AND,7.2,0.2,9,15.2
2120,aucs,AND,7.2,0.30000000000000004,1,8.19672131147541
2121,ckm_physicians,AND,7.2,0.30000000000000004,13,39.004149377593365
2122,eu_transportation,AND,7.2,0.30000000000000004,11,64.02877697841727
2123,lazega,AND,7.2,0.30000000000000004,1,8.450704225352112
2124,er2,AND,7.2,0.30000000000000004,23,99.4
