,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
128,sf3,OR,2,0.4,8,87.8,2.0,87.55102040816327,k_shell
129,sf5,OR,2,0.4,5,98.8,2.0,98.77551020408164,k_shell
130,aucs,OR,2,0.5,0,3.278688524590164,3.278688524590164,0.0,k_shell
131,ckm_physicians,OR,2,0.5,9,21.99170124481328,2.0746887966804977,20.33898305084746,k_shell
132,eu_transportation,OR,2,0.5,10,97.84172661870504,2.158273381294964,97.79411764705884,k_shell
133,lazega,OR,2,0.5,0,2.8169014084507045,2.8169014084507045,0.0,k_shell
134,er2,OR,2,0.5,1,2.1,2.0,0.1020408163265307,k_shell
135,er3,OR,2,0.5,3,3.5000000000000004,2.0,1.5306122448979598,k_shell
136,er5,OR,2,0.5,3,2.6,2.0,0.6122448979591838,k_shell
137,sf2,OR,2,0.5,5,10.2,2.0,8.367346938775508,k_shell
138,sf3,OR,2,0.5,3,8.799999999999999,2.0,6.9387755102040805,k_shell
139,sf5,OR,2,0.5,8,98.8,2.0,98.77551020408164,k_shell
140,aucs,OR,2,0.6,0,3.278688524590164,3.278688524590164,0.0,k_shell
141,ckm_physicians,OR,2,0.6,9,21.99170124481328,2.0746887966804977,20.33898305084746,k_shell
142,eu_transportation,OR,2,0.6,10,97.84172661870504,2.158273381294964,97.79411764705884,k_shell
143,lazega,OR,2,0.6,0,2.8169014084507045,2.8169014084507045,0.0,k_shell
144,er2,OR,2,0.6,1,2.1,2.0,0.1020408163265307,k_shell
145,er3,OR,2,0.6,3,3.5000000000000004,2.0,1.5306122448979598,k_shell
146,er5,OR,2,0.6,3,2.6,2.0,0.6122448979591838,k_shell
147,sf2,OR,2,0.6,5,9.6,2.0,7.755102040816326,k_shell
148,sf3,OR,2,0.6,3,8.799999999999999,2.0,6.9387755102040805,k_shell
149,sf5,OR,2,0.6,8,98.8,2.0,98.77551020408164,k_shell
150,aucs,OR,2,0.7000000000000001,0,3.278688524590164,3.278688524590164,0.0,k_shell
151,ckm_physicians,OR,2,0.7000000000000001,1,2.489626556016597,2.0746887966804977,0.4237288135593223,k_shell
152,eu_transportation,OR,2,0.7000000000000001,5,94.00479616306954,2.158273381294964,93.87254901960785,k_shell
153,lazega,OR,2,0.7000000000000001,0,2.8169014084507045,2.8169014084507045,0.0,k_shell
154,er2,OR,2,0.7000000000000001,0,2.0,2.0,0.0,k_shell
155,er3,OR,2,0.7000000000000001,2,2.7,2.0,0.7142857142857144,k_shell
156,er5,OR,2,0.7000000000000001,2,2.4,2.0,0.4081632653061224,k_shell
157,sf2,OR,2,0.7000000000000001,2,3.7,2.0,1.73469387755102,k_shell
158,sf3,OR,2,0.7000000000000001,2,4.8,2.0,2.857142857142857,k_shell
159,sf5,OR,2,0.7000000000000001,5,8.6,2.0,6.73469387755102,k_shell
160,aucs,OR,2,0.8,0,3.278688524590164,3.278688524590164,0.0,k_shell
161,ckm_physicians,OR,2,0.8,1,2.489626556016597,2.0746887966804977,0.4237288135593223,k_shell
162,eu_transportation,OR,2,0.8,7,93.28537170263787,2.158273381294964,93.1372549019608,k_shell
163,lazega,OR,2,0.8,0,2.8169014084507045,2.8169014084507045,0.0,k_shell
164,er2,OR,2,0.8,0,2.0,2.0,0.0,k_shell
165,er3,OR,2,0.8,2,2.7,2.0,0.7142857142857144,k_shell
166,er5,OR,2,0.8,1,2.3,2.0,0.3061224489795917,k_shell
167,sf2,OR,2,0.8,1,3.5000000000000004,2.0,1.5306122448979598,k_shell
168,sf3,OR,2,0.8,2,4.7,2.0,2.7551020408163267,k_shell
169,sf5,OR,2,0.8,4,8.0,2.0,6.122448979591836,k_shell
170,aucs,OR,2,0.9,0,3.278688524590164,3.278688524590164,0.0,k_shell
171,ckm_physicians,OR,2,0.9,1,2.489626556016597,2.0746887966804977,0.4237288135593223,k_shell
172,eu_transportation,OR,2,0.9,6,90.88729016786571,2.158273381294964,90.68627450980394,k_shell
173,lazega,OR,2,0.9,0,2.8169014084507045,2.8169014084507045,0.0,k_shell
174,er2,OR,2,0.9,0,2.0,2.0,0.0,k_shell
175,er3,OR,2,0.9,2,2.7,2.0,0.7142857142857144,k_shell
